frame,active,onscreen,max_dst_px_line,max_src_px_line,sum_dst_px,max_sprites_line
6,0,0,0,0,0,0
12,0,0,0,0,0,0
18,0,0,0,0,0,0
24,0,0,0,0,0,0
30,0,0,0,0,0,0
36,0,0,0,0,0,0
42,0,0,0,0,0,0
48,0,0,0,0,0,0
54,0,0,0,0,0,0
60,0,0,0,0,0,0
66,0,0,0,0,0,0
72,0,0,0,0,0,0
78,0,0,0,0,0,0
84,0,0,0,0,0,0
90,0,0,0,0,0,0
96,0,0,0,0,0,0
102,0,0,0,0,0,0
108,0,0,0,0,0,0
114,0,0,0,0,0,0
120,0,0,0,0,0,0
126,0,0,0,0,0,0
132,0,0,0,0,0,0
138,0,0,0,0,0,0
144,256,0,0,0,0,0
150,124,8,856,128,191744,8
156,124,8,856,128,191744,8
162,124,8,856,128,191744,8
168,124,8,856,128,191744,8
174,124,8,856,128,191744,8
180,124,8,856,128,191744,8
186,124,8,856,128,191744,8
192,124,8,856,128,191744,8
198,124,8,856,128,191744,8
204,124,8,856,128,191744,8
210,124,8,856,128,191744,8
216,124,8,856,128,191744,8
222,124,8,856,128,191744,8
228,124,8,856,128,191744,8
234,124,8,856,128,191744,8
240,124,8,856,128,191744,8
246,124,8,856,128,191744,8
252,124,8,856,128,191744,8
258,124,8,856,128,191744,8
264,124,8,856,128,191744,8
270,124,8,856,128,191744,8
276,124,8,856,128,191744,8
282,124,8,856,128,191744,8
288,124,8,856,128,191744,8
294,124,8,856,128,191744,8
300,124,8,856,128,191744,8
306,124,8,856,128,191744,8
312,124,8,856,128,191744,8
318,124,8,856,128,191744,8
324,124,8,856,128,191744,8
330,124,8,856,128,191744,8
336,124,8,856,128,191744,8
342,124,8,856,128,191744,8
348,124,8,856,128,191744,8
354,124,8,856,128,191744,8
360,124,8,856,128,191744,8
366,124,8,856,128,191744,8
372,124,8,856,128,191744,8
378,124,8,856,128,191744,8
384,124,8,856,128,191744,8
390,124,8,856,128,191744,8
396,124,8,856,128,191744,8
402,124,8,856,128,191744,8
408,124,8,856,128,191744,8
414,124,8,856,128,191744,8
420,124,8,856,128,191744,8
426,124,8,856,128,191744,8
432,124,8,856,128,191744,8
438,124,8,856,128,191744,8
444,124,8,856,128,191744,8
450,124,8,856,128,191744,8
456,124,8,856,128,191744,8
462,124,8,856,128,191744,8
468,124,8,856,128,191744,8
474,124,8,856,128,191744,8
480,124,8,856,128,191744,8
486,124,8,856,128,191744,8
492,124,8,856,128,191744,8
498,124,8,856,128,191744,8
504,124,8,856,128,191744,8
510,124,8,856,128,191744,8
516,124,8,856,128,191744,8
522,124,8,856,128,191744,8
528,124,8,856,128,191744,8
534,124,8,856,128,191744,8
540,124,8,856,128,191744,8
546,124,8,856,128,191744,8
552,124,8,856,128,191744,8
558,124,8,856,128,191744,8
564,124,8,856,128,191744,8
570,124,8,856,128,191744,8
576,124,8,856,128,191744,8
582,124,8,856,128,191744,8
588,124,8,856,128,191744,8
594,124,8,856,128,191744,8
600,124,8,856,128,191744,8
606,124,8,856,128,191744,8
612,124,8,856,128,191744,8
618,124,8,856,128,191744,8
624,124,8,856,128,191744,8
630,124,8,856,128,191744,8
636,124,8,856,128,191744,8
642,124,8,856,128,191744,8
648,124,8,856,128,191744,8
654,124,8,856,128,191744,8
660,124,8,856,128,191744,8
666,124,8,856,128,191744,8
672,124,8,856,128,191744,8
678,124,8,856,128,191744,8
684,124,8,856,128,191744,8
690,124,8,856,128,191744,8
696,124,8,856,128,191744,8
702,124,8,856,128,191744,8
708,124,8,856,128,191744,8
714,124,8,856,128,191744,8
720,124,8,856,128,191744,8
726,124,8,856,128,191744,8
732,124,8,856,128,191744,8
738,124,8,856,128,191744,8
744,124,8,856,128,191744,8
750,124,8,856,128,191744,8
756,124,8,856,128,191744,8
762,124,8,856,128,191744,8
768,124,8,856,128,191744,8
774,124,8,856,128,191744,8
780,124,8,856,128,191744,8
786,124,8,856,128,191744,8
792,124,8,856,128,191744,8
798,124,8,856,128,191744,8
804,124,8,856,128,191744,8
810,124,8,856,128,191744,8
816,124,8,856,128,191744,8
822,124,8,856,128,191744,8
828,124,8,856,128,191744,8
834,124,8,856,128,191744,8
840,124,8,856,128,191744,8
846,124,8,856,128,191744,8
852,124,8,856,128,191744,8
858,124,8,856,128,191744,8
864,124,8,856,128,191744,8
870,124,8,856,128,191744,8
876,124,8,856,128,191744,8
882,124,8,856,128,191744,8
888,124,8,856,128,191744,8
